Run Fitness1 Solution1 Fitness2 Solution2
0 5.8 060013013 5.8 060013013
0 5.8 060013013 5.8 060013013
0 5.8 060013013 5.6 060014008
0 5.6 060014008 5.6 060014008
0 5.6 060014008 5.6 060014008
0 5.6 060014008 5.6 060014008
0 5.6 060014008 3.4 090018012
0 3.4 090018012 3.4 090018012
0 3.4 090018012 3.4 090018012
0 3.4 090018012 3.4 090018012
0 3.4 090018012 3.4 090018012
0 3.4 090018012 3.4 090018012
0 3.4 090018012 3.4 080013024
0 3.4 080013024 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 2.4 040010012
0 2.4 040010012 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
0 1.9 080014023 1.9 080014023
